year,State,Vehicles Weighed (Fixed platform Scale),Vehicles Weighed (WIM Scale),Vehicles Weighed (Portable Scale),Vehicles Weighed (Semi-portable Scale),oversize_violation_current_year,overweight_violation_current_year,non_divisible_trip_permits,non_divisible_annual_permits,divisible_trip_permits,divisible_annual_permits
2019,NH,1833,241262,792,1168,137,1394,24699,,,16933
2019,NJ,291982,2917811,18011,788,159,9764,53325,,,
2019,NM,1462541,1788220,25358,922,183,112,80160,10746,217199,0
2019,NV,18,20795,500,0,60,153,13010,2776,25,4318
2019,NY,0,1701,63583,21083,650,9556,198444,7450,539,33859
2019,OH,2011321,0,3894,0,163,8362,322194,2082,17880,0
2019,OK,1819152,3527827,2840,310,1457,22670,90315,3869,3563,2107
2019,OR,1639102,1947215,8650,0,654,12884,103196,32041,0,164162
2019,PA,9678,382870,2090,0,945,1525,347358,1341,3,2272
2019,RI,6566,0,479,637,13,162,10002,218,0,6600
2019,SC,188853,1769104,3449,0,1868,5118,59925,11641,0,0
2019,SD,310339,487649,26914,0,476,1279,32066,7737,53501,543
2019,TN,1169354,6068619,0,148,1548,1375,131599,5927,0,0
2019,TX,58265,991609,10530,5203,1453,21450,373097,51565,86246,65020
2019,UT,6477886,7435535,981,0,98,3841,40982,6908,2481,14052
2019,VA,5310679,11773023,11242,0,42,36470,69947,12765,0,0
2019,VT,5729,300,446,9,51,97,11500,2319,781,10104
2019,WA,1129144,4301715,1619,0,1851,6601,96461,4126,0,3022
2019,WI,267317,1517547,1880,0,500,5349,23909,6113,0,5325
2019,WV,1768085,138800,300,,49,237,90721,2191,,
2019,WY,513313,2410096,131,0,640,3507,55263,768,530,1841
